technology,window_number,window_start_date,window_end_date,days_since_launch,video_count,mean_sentiment,median_sentiment,sentiment_std,proportion_positive,proportion_negative,mean_views,mean_hyperbole,mean_complexity,dominant_topic,topic_diversity,mean_duration,mean_subscriber_count,dominant_category,category_diversity,prop_sci_tech,mean_like_ratio,mean_comment_ratio,sentiment_slope
ChatGPT,4,2022-07-13,2022-07-27,-140,1,0.6,0.6,,1.0,0.0,10521.0,0.8,0.8,Technical Tutorial,0.16666666666666666,507.0,342000.0,Gaming,0.03125,0.0,0.061305959509552324,0.00665335994677312,
ChatGPT,5,2022-07-27,2022-08-10,-126,1,0.9,0.9,,1.0,0.0,1992.0,0.6,0.0,Practical Application,0.16666666666666666,278.0,795.0,Education,0.03125,0.0,0.03765060240963856,0.0035140562248995983,
ChatGPT,7,2022-08-24,2022-09-07,-98,2,0.8500000000000001,0.8500000000000001,0.0707106781186547,1.0,0.0,34378.5,0.7,0.6,Practical Application,0.16666666666666666,650.0,455500.0,Gaming,0.0625,0.5,0.04765743249044688,0.009053845763660182,
ChatGPT,8,2022-09-07,2022-09-21,-84,1,0.9,0.9,,1.0,0.0,87618.0,0.5,0.6,Technical Tutorial,0.16666666666666666,1342.0,38500.0,Education,0.03125,0.0,0.019037184140245154,0.0006391380766509164,0.06785714285714288
ChatGPT,9,2022-09-21,2022-10-05,-70,4,-0.024999999999999994,-0.05000000000000002,0.7135591542869216,0.5,0.5,3216.5,0.725,0.45,Critical/Evaluative,0.5,1469.0,1294.0,People & Blogs,0.0625,0.5,0.022704538897913518,0.004304737006579611,0.055000000000000014
ChatGPT,10,2022-10-05,2022-10-19,-56,1,0.2,0.2,,1.0,0.0,13856.0,0.3,0.6,Technical Tutorial,0.16666666666666666,362.0,1100.0,Science & Technology,0.03125,1.0,0.02121824480369515,0.0021651270207852192,-0.08488372093023255
ChatGPT,12,2022-11-02,2022-11-16,-28,4,0.07500000000000001,0.05,0.09574271077563382,0.5,0.0,166467.5,0.15000000000000002,0.3,Practical Application,0.3333333333333333,1042.5,147525.0,Science & Technology,0.0625,0.75,0.015210290211174808,0.0014754522819472131,-0.17635135135135135
ChatGPT,13,2022-11-16,2022-11-30,-14,2,0.4,0.4,0.5656854249492381,0.5,0.0,36667.5,0.25,0.35,Practical Application,0.16666666666666666,493.5,7485.5,Science & Technology,0.03125,1.0,0.024852784948478996,0.004699371229096933,-0.17398648648648646
ChatGPT,14,2022-11-30,2022-12-14,0,8,0.4625,0.4,0.3159452936370925,1.0,0.0,1272106.25,0.5,0.425,Practical Application,0.8333333333333334,760.25,1053000.0,Science & Technology,0.1875,0.375,0.02001311573390208,0.0012628024867586585,-0.06075581395348837
ChatGPT,15,2022-12-14,2022-12-28,14,15,0.5666666666666667,0.7,0.2609506430251478,0.9333333333333333,0.0,1331422.7333333334,0.5399999999999999,0.44666666666666666,Practical Application,0.5,1306.6666666666667,2091771.3333333333,Science & Technology,0.15625,0.4,0.03098485186058791,0.0011661034704317235,0.08401162790697675
